"ID","Title","Series","Text","Date1","Date2","Appt Pres","Case1","Case2","Case3","Citation"
1025,"Twenty-Sixth Amendment","Amendment","The 26th Amendment lowered the voting age to 18.","1971",,,,,,
1026,"Twenty-Seventh Amendment","Amendment","The 27th Amendment requires that any legislative change in the salary of members of Congress cannot take effect until the seating of the following Congress.","1992",,,,,,
1027,"John Jay","Justice","Co-author of the Federalist Papers and first Chief Justice of the United States.","1789","1795","Washington","Chisholm v. Georgia","Georgia v. Brailsford",,
1028,"James Iredell","Justice","A member of the first Supreme Court, Iredell was a Federalist who championed the ratification of the Constitution in his home state of North Carolina.","1790","1799","Washington","Calder v. Bull (concurrence)","Chisholm v. Georgia (dissent)",,
1029,"John Rutledge","Justice","Second Chief Justice of the United States. A recess appointment, he was not confirmed as chief by the Senate.","1795","1795","Washington","U.S. v. Peters","Talbot v. Janson",,
1030,"Oliver Ellsworth","Justice","Third Chief Justice.  Also served as senator from Connecticut.  Member of the Constitutional Convention's Committee on Detail; though he supported ratification, he left Philadelphia before signing of the Constitution.","1796","1800","Washington","N.Y. v. Conn.",,,
1031,"John Marshall","Justice","Fourth Chief Justice. Nearly consensus choice for greatest Chief Justice, and certainly the one who cemented the Court's image as a co-equal branch of the federal government.","1801","1835","J. Adams","Marbury v. Madison","McCulloch v. Maryland","Gibbons v. Ogden",
1032,"Joseph Story","Justice","Perhaps the greatest associate justice of the early republic, Story wrote one of the most cited treatises on American constitutional law.","1812","1845","Madison","Martin v. Hunter's Lessee","The Amistad","Prigg v. Pennsylvania",
1033,"Roger B. Taney","Justice","Fifth Chief Justice; the first Catholic on the Court, and also a slaveholder who ultimately freed his slaves.","1836","1864","Jackson","Scott v. Sandford","Charles River Bridge v. Warren Bridge","Ex parte Marryman (riding circuit)",
1034,"Stephen Johnson Field","Justice","Though a Democrat, Field was appointed to the Court during the Civil War to bring a Western balance (he was serving at the time as Chief Justice of California).","1863","1897","Lincoln","Pennoyer v. Neff","Slaughter-House Cases (dissent)","Ex parte Garland",
1035,"Salmon P. Chase","Justice","Sixth Chief Justice; as Lincoln's Treasury Secretary, the U.S. introduced the greenback during the Civil War. Presided over the impeachment trial of Andrew Johnson.","1864","1873","Lincoln","Texas v. White","Ex parte McCardle","Veazie Bank v. Fenno",
1036,"Joseph P. Bradley","Justice","Bradley, while serving on the Court, was also appointed to the commission that decided the disputed 1876 presidential election in favor of Republican Rutherford B. Hayes.","1870","1892","Grant","Hans v. Louisiana","Bradwell v. Illinois (concurrence)","C. M. & St. P. R. v. Minn.",
1037,"Morrison Waite","Justice","The 7th Chief Justice, Waite was nominated after a long series of failed attempts to find a suitable appointment.","1874","1888","Grant","Reynolds v. U.S.","U.S. v. Cruikshank","Munn v. Illinois",
1038,"John Marshall Harlan","Justice","The ""first"" Justice Harlan, perhaps most well-known for his lone dissent in both the Civil Rights Cases and Plessy v. Ferguson. He earned the nickname ""the Great Dissenter."" His grandson was the second John Marshall Harlan to serve on the Court.","1877","1811","Hayes","Civil Rights Cases (dissent)","Plessy v. Ferguson (dissent)","Lochner v. New York (dissent)",
1039,"Melville Fuller","Justice","The 8th Chief Justice, Fuller attended, but did not graduate from, Harvard Law School.","1888","1910","Cleveland","U.S. v. E.C. Knight Co.","Pollock v. Farmers' Loan & Trust Co.","Loewe v. Lawlor",
1040,"Rufus Wheeler Peckham","Justice","If any justice is synonymous with the ""Lochner Era"" it is Justice Peckham, who wielded substantive due process and the freedom of contract to restrict the government's ability to regulate commerce and property.","1896","1909","Cleveland","Lochner v. N.Y.","Allgeyer v. Louisiana","Ex parte Young",
1041,"Oliver Wendell Holmes, Jr.","Justice","Perhaps the most influential justice after Chief Justice Marshall, Holmes fought in the Civil War and served on the Massachusetts high court for 20 years before joining the Supreme Court.","1902","1932","T. Roosevelt","Schenck v. U.S.","Buck v. Bell","Abrams v. U.S. (dissent)",
1042,"Edward Douglass White","Justice","A former senator, this 9th Chief Justice was the author of the ""rule of reason"" in applying federal antitrust law.","1910","1921","Taft","Standard Oil Co. of N.J. v. U.S.","Selective Draft Law Cases","Guinn v. U.S.",
1043,"Louis Brandeis","Justice","Justice Brandeis is considered one of the most influential writers to serve on the Court; he was also the first Jewish member of the Supreme Court.","1916","1939","Wilson","Erie R. Co. v. Tompkins","New State Ice Co. v. Liebmann (dissent)","Whitney v. California (concurrence)",
1044,"William Howard Taft","Justice","The 10th Chief Justice was the first former president to serve on the Court and, as president, was the first president to throw out the first pitch at a baseball game.","1921","1930","Harding","Carroll v. U.S.","Olmstead v. U.S.","Balzac v. Porto Rico",
1045,"Charles Evans Hughes","Justice","The 11th Chief Justice (he also served a non-contiguous term as an associate justice), Hughes was also a Cabinet member as Secretary of State under Presidents Harding and Coolidge.","1930","1941","Hoover","Near v. Minnesota","Schechter Poultry Co. v. U.S.","NLRB v. Jones & Laughlin Steel Corp.",
1046,"Benjamin N. Cardozo","Justice","A Democrat appointed by a Republican, Cardozo is one of the most respected Justices to ever sit on the Court. Of Portuguese Jewish descent, some have wondered whether he should be considered the first Hispanic justice.","1932","1938","Hoover","Palko v. Connecticut","Nixon v. Condon","Steward Mach. Co. v. Davis",
1047,"Hugo Black","Justice","One of the Court's longest-serving justices, Black was liberal in many regards, while abstaining from endorsing seemingly ""liberal"" concepts, such as substantive due process or a constitutional right to privacy.","1937","1971","F.D. Roosevelt","Younger v. Harris","Korematsu v. U.S.","Adamson v. California (dissent)",
1048,"Felix Frankfurter","Justice","Born in Vienna, and a co-founder of the ACLU, Justice Frankfurter was appointed to the bench to replace Justice Cardozo.","1939","1962","F.D. Roosevelt","Minersville Sch. Dist. v. Gobitis","Colegrove v. Green","Wolf v. Colorado",
1049,"William O. Douglas","Justice","The longest-serving justice, Douglas was the Chairman of the relatively new Securities & Exchange Commission at the time of his appointment.","1939","1975","F.D. Roosevelt","Griswold v. Connecticut","Terminiello v. City of Chicago","Sierra Club v. Morton (dissent)",
1050,"Harlan F. Stone","Justice","The 12th Chief Justice, both his predecessor and successor as Attorney General also served on the Court.","1941","1946","F.D. Roosevelt","Hirabayashi v. U.S.","International Shoe v. Washington","Douglas v. City of Jeannette",
1051,"Robert H. Jackson","Justice","Although one of the most respected justices of the 20th Century, and an Attorney General, Jackson might be most well-know for prosecuting the Nuremburg War Crimes Trials after WWII.","1941","1954","F.D. Roosevelt","W.Va. State Bd. of Educ. v. Barnette","Youngstown Sheet & Tube Co. v. Sawyer (concurrence)","Skidmore v. Swift & Co.",
1052,"Fred M. Vinson","Justice","The 13th Chief Justice, he served in all three branches of the federal government, including as a Congressman and as Secretary of the Treasury.","1946","1953","Truman","U.S. v. United Mine Workers","Shelley v. Kraemer","Sweatt v. Painter",
1053,"Earl Warren","Justice","The 14th Chief Justice, a Republican Governor of California, Warren presided over perhaps the Court's greatest shift towards the protection and expansion of individual constitutional rights.","1953","1969","Eisenhower","Brown v. Bd. of Educ.","Reynolds v. Sims","Terry v. Ohio",
1054,"John Marshall Harlan II","Justice","The grandson of the first Justice Harlan, the second Justice Harlan was one of the first nominees to appear before the Senate Judiciary Committee (he was nominated shortly after the opinion issued in Brown v. Bd. of Educ.).","1955","1971","Eisenhower","Yates v. U.S.","NAACP v. Alabama","Cohen v. California",
1055,"William J. Brennan, Jr.","Justice","A Republican appointed by a Republican, Brennan eventually became one of the Court's most liberal members in areas such as civil liberties and capital punishment.","1956","1990","Eisenhower","Roth v. U.S.","New York Times Co. v. Sullivan","Texas v. Johnson",
1056,"Thurgood Marshall","Justice","A seasoned NAACP attorney, Marshall won 29 of the 32 cases he argued before the Supreme Court, before becoming the first African-American to sit on the Court.","1967","1991","L.B. Johnson","Stanley v. Georgia","Estelle v. Gamble","Ake v. Oklahoma",
1057,"Warren E. Burger","Justice","The 15th Chief Justice, Warren Earl Burger replaced Earl Warren as chief.","1969","1986","Nixon","Swann v. Charlotte-Mecklenburg Bd. of Ed.","INS v. Chadha","Lynch v. Donnelly",
1058,"Harry Blackmun","Justice","In his early days on the Court, Justice Blackmun & Chief Justice Burger were called the ""Minnesota Twins"" due to their shared home state and similar voting records.","1970","1994","Nixon","Roe v. Wade","Bowers v. Hardwick (dissent)","Callins v. Collins (dissent from denial of cert.)",
1059,"John Paul Stevens","Justice","Justice Stevens claims to have been in attendance at the 1932 World Series game between the Cubs & Yankees when Babe Ruth allegedly called his shot.","1975","2010","Ford","Hamdan v. Rumsfeld","Wallace v. Jaffree","Chevron v. NRDC",
1060,"Sandra Day O'Connor","Justice","The first woman on the Supreme Court, O'Connor was a classmate of Justice Rehnquist at Stanford Law. Graduating 3rd in her class, she was only able to find a job as a legal secretary.","1981","2006","Reagan","Grutter v. Bollinger","Planned Parenthood v. Casey (joint opinion)","Shaw v. Reno",
1061,"Antonin Scalia","Justice","A former U of Chicago law professor, Scalia sat on the DC Circuit before being elevated to replace Justice Rehnquist upon his own elevation to Chief Justice. Scalia abhors the use of legislative history.","1986","?","Reagan","Apprendi v. New Jersey","D.C. v. Heller","Kyllo v. U.S.",
1062,"William Rehnquist","Justice","The 16th Chief Justice, Rehnquist clerked for Justice Robert Jackson, and was succeeded on the Court by two current members: Justice Scalia as Associate Justice and Chief Justice Roberts as Chief.","1986","2005","Reagan","Dickerson v. U.S.","South Dakota v. Dole","National League of Cities v. Usery",
1063,"Anthony Kennedy","Justice","Kennedy, a swing vote on the Court,  was nominated after the failed nominations of Robert Bork and Douglas Ginsburg.","1988","?","Reagan","Lawrence v. Texas","Gonzales v. Carhart","Kennedy v. Louisiana",
1064,"Clarence Thomas","Justice","The second African-American to serve on the Supreme Court , replacing the first, Thurgood Marshall, Thomas endured a bitter confirmation hearing amidst allegations of sexual harassment during his tenure as Chairman of the EEOC.","1991","?","G.H.W. Bush","ACLU v. Ashcroft","Kansas v. Marsh","Bd. of Educ. v. Earls",
1065,"Ruth Bader Ginsburg","Justice","The second woman justice and the first female Jewish justice, Ginsburg, like many recent appointees, served on the D.C. Circuit at the time of her nomination.","1993","?","Clinton","Eldred v. Ashcroft","U.S. v. Virginia","Oregon v. Ice",
1066,"Stephen Breyer","Justice","Justice Breyer sometimes must recuse himself when cases trickle up from the Northern District of California, where his brother is a judge. He & Justice Scalia also like to debate each other on constitutional interpretation.","1994","?","Clinton","U.S. v. Booker","Indiana v. Edwards","U.S. v. Lara",
1067,"John G. Roberts","Justice","The 17th Chief Justice, Roberts was initially named to replace Sandra Day O'Connor, but was renominated to replace Chief Justice Rehnquist when he died shortly thereafter.","2005","?","G.W. Bush","Parents Involved in Community Schools v. Seattle School District No. 1","National Federation of Independent Business v. Sebelius","U.S. v. Stevens",
1068,"Samuel Alito","Justice","Though Justice Alito had the second lowest confirmation vote in the Senate among members of the Roberts Court, he was rated as ""well qualified"" by the ABA.","2006","?","G.H.W. Bush","Davis v. FEC","McDonald v. Chicago","Snyder v. Phelps (dissent)",
1069,"Sonia Sotomayor","Justice","The 3rd woman and 1st Latina on the Supreme Court, Justice Sotomayor was in the limelight as a US district judge when she issued a ruling against baseball owners that effectively ended the 1994-95 baseball strike.","2009","?","Obama","Missouri v. McNeely","Microsoft v. i4i","Milavetz, Gallop & Milavetz, P. A. v. United States",
1070,"Elena Kagan","Justice","A former Harvard Law School dean, and Solicitor General  of the U.S., Justice Kagan replaced Justice John Paul Stevens on the Court.","2010","?","Obama","Camreta v. Greene","Miller v. Alabama","Tapia v. U.S.",
1071,"Northwest Ordinance","Public Law","Originally passed by the Congress under the Articles of Confederation, and re-passed under the new Congress following ratification of the Constitution, this law set the template for government in non-state territories that were slated for future statehood.","1787",,,,,,
1072,"First Judiciary Act","Public Law","Pursuant to the new Constitution, Congress passed this act establishing the Supreme Court, with 6 justices, as well as lower federal courts and delineated their respective jurisdictions.","1789",,,,,,
1073,"Alien and Sedition Acts","Public Law","Three notorious acts passed during the ""Quasi War"" with France; largely considered to have been unconstitutional in retrospect.","1798",,,,,,
1074,"Missouri Compromise","Public Law","In a compromise between pro- and anti-slavery factions, Missouri was admitted as a slave state, while Maine was admitted as a free state. No other parts of the Louisiana Territory north of Missouri could be admitted as a slave state.","1820",,,,,,
1075,"Fugitive Slave Act","Public Law","This second federal fugitive slave law increased the tension between the Northern and Southern states leading up to the Civil War.","1850",,,,,,
1076,"Kansas-Nebraska Act","Public Law","An attempt at compromise brought Kansas & Nebraska into the union with their settlers given the right to determine whether they would become free or slave states. This led to violence in Kansas, known as ""Bloody Kansas.""","1854",,,,,,
1077,"Habeas Corpus Suspension Act","Public Law","Congress passed this act in order to retroactively give authority to President Lincoln for his suspension of habeas corpus in response to the Civil War.","1863",,,,,,
1078,"First Civil Rights Act","Public Law","Although enacted under the authority of the 13th Amendment, this civil rights act was subsequently mostly constitutionalized as the 14th Amendment due to doubts regarding its constitutionality.","1866",,,,,,
1079,"Reconstruction Acts","Public Law","A series of four acts to provide for the administration of the former Confederate states and to transition them for re-admittance to the Union; they generally provided for military government in the South.","1867",,,,,,
1080,"Civil Rights Act (aka Ku Klux Klan Act)","Public Law","A civil rights act passed to suspend habeas corpus in areas of the Deep South where the KKK was preventing enforcement of the Reconstruction Amendments; it's the original enactment of the current 42 U.S.C. § 1983.","1871",,,,,,
1081,"Third Civil Rights Act","Public Law","AKA the Enforcement Act, this Civil Rights Act, providing for equal treatment for African Americans on juries and with regards to public transportation and accommodations, was struck down by the Civil Rights Cases.","1875",,,,,,
1082,"Interstate Commerce Act","Public Law","This act, which created the Interstate Commerce Commission, was the beginning of the modern administrative state, which expanded exponentially 50 years later during the New Deal.","1887",,,,,,
1083,"Sherman Antitrust Act","Public Law","The landmark, and still preeminent, federal law regulating anticompetitive conduct by commercial enterprises. It was named for its drafter, Senator John Sherman (R-OH).","1890",,,,,,
1084,"Federal Employers' Liability Act","Public Law","Passed by Congress to address both the increasing use of railroads in commerce and also the increasing amount of railroad employee injuries, this law provided a cause of action for railroad employees injured on the job. As it is not a workers' compensation program, negligence must be shown.","1908",,,,,,
1085,"Mann Act","Public Law","Named for its Congressional sponsor, this act prohibited the transportation across state lines of women for ""immoral purposes."" Chuck Berry was once convicted under the Mann Act; Charlie Chaplin was tried and acquitted.","1910",,,,,,
1086,"Clayton Antitrust Act","Public Law","A sequel to the Sherman Antitrust Act, the Clayton Act preempts certain anticompetitive conduct, such as price discrimination and mergers with anticompetitive effects.","1914",,,,,,
1087,"Federal Trade Commission Act","Public Law","The FTC Act established the Federal Trade Commission, granting the federal government broader power in ""trust-busting"" and curbing anticompetitive conduct.","1914",,,,,,
1088,"Espionage Act","Public Law","Passed in conjunction with the United States' entry into World War I, the Espionage Act has withstood numerous First Amendment challenges. Some of the more constitutionally problematic sections were subsequently repealed.","1917",,,,,,
1089,"Selective Service Act","Public Law","Unlike in the Civil War, the draft established for World War I did not allow a draftee to substitute someone in his place; the Supreme Court upheld the law in the Selective Draft Law Cases.","1917",,,,,,
1090,"National Prohibition Act (Volstead Act)","Public Law","This act of Congress put the 18th Amendment in effect; it was effectively a nullity upon the ratification of the 21st Amendment.","1919",,,,,,
1091,"Federal Arbitration Act","Public Law","This law was passed in order to circumvent a judicial hostility toward, and resultant failure to enforce, contracts to arbitrate. The modern Supreme Court has been relatively strict in its enforcement.","1926",,,,,,
1092,"Smoot-Hawley Tariff","Public Law","This tariff, passed by Congress to raise revenue during the Great Depression, had the effect of sinking the country further into the depression as foreign trade partners raised their tariffs in retaliation, decreasing American trade.","1930",,,,,,
1093,"Agricultural Adjustment Act","Public Law","This New Deal law paid farmers a subsidy to destroy excess crops and livestock, in order to raise the value of remaining crops. Held unconstitutional, a later act remedied the problems with the original.","1933",,,,,,
1094,"Securities Act","Public Law","The Securities Act, passed in the aftermath of the 1929 stock market crash, requires that securities sold on the market in the U.S. be registered and that all material information be conveyed to the public. The Securities Act primarily applies to the initial offering of a security.","1933",,,,,,
1095,"Securities Exchange Act","Public Law","The Securities Exchange Act is the sequel to the Securities Act, also passed in response to the stock market crash of 1929. As opposed to the Securities Act, the Securities Exchange Act primarily applies to the resale or trading of securities, after their initial offering and sale.","1934",,,,,,
1096,"National Labor Relations Act","Public Law","The NLRA is the major statute defining management-union relations. It covers the right to organize and collectively bargain, and established the National Labor Relations Board to settle disputes arising under the act.","1935",,,,,,
1097,"Social Security Act","Public Law","The symbolic first Social Security Card was issued to John David Sweeney, Jr. The lowest numbered card went to the chairman of the Social Security Board.","1935",,,,,,
1098,"Fair Labor Standards Act","Public Law","This landmark federal law, passed during the New Deal, established, among other things, the minimum wage, the 40-hour workweek, and time-and-a-half overtime pay.","1938",,,,,,
1099,"Federal Food, Drug and Cosmetic Act","Public Law","Superseding and expanding the Pure Food & Drug Act, this act gave more power to the FDA to regulate a broader category of consumer goods.","1938",,,,,,
1100,"Administrative Procedure Act","Public Law","With the mass expansion of regulatory agencies established during the New Deal, this act was passed to  circumscribe the ways in which such agencies made law.","1946",,,,,,
1101,"Lanham Trademark Act","Public Law","The Lanham Act, named for drafter Congressman Fritz Lanham, provides for the protection of trademarks. It protects against outright infringement as well as more subtle violations, such as dilution.","1946",,,,,,
1102,"Taft-Hartley Act","Public Law","AKA the Labor-Management Relations Act, Taft-Hartley was passed in order to trim back the gains made by unions since the passage of the NLRA, and thus imposed some limits on unions previously only imposed on employers.","1947",,,,,,
1103,"Federal Water Pollution Control Act","Public Law","One of the first federal environmental acts, it was limited to interstate waters, and was greatly expanded by amendment 24 years later.","1948",,,,,,
1104,"Immigration and Nationality Act","Public Law","The INA was one of the first major overhauls of U.S. immigration law; while it abolished some of the racial restrictions imposed by past acts, it also expanded the category of deportable aliens; it also extended birthright citizenship to children born in American territories.","1952",,,,,,
1105,"Clean Air Act","Public Law","Though not the first environmental legislation passed by Congress, the Clean Air Act was one of the first to include a vehicle for citizen suits to enforce its provisions (aka ""private attorneys general"").","1963",,,,,,
1106,"Civil Rights Act","Public Law","Landmark legislation that outlawed discrimination on the basis of religion, race, sex, and national origin, in employment and public accommodations, among other areas.","1964",,,,,,
1107,"Voting Rights Act","Public Law","In an attempt to circumvent Southern attempts to impede black voting, the Voting Rights Act established ""covered jurisdictions"" in which apportionment and changes to voting qualifications in such jurisdictions had to be approved by the Attorney General or a 3-judge district court in D.C.","1965",,,,,,
1108,"Age Discrimination in Employment Act","Public Law","This act was passed to prohibit employment discrimination against workers aged 40 or older.","1967",,,,,,
1109,"Federal Election Campaign Act","Public Law","This act was passed to regulate federal election campaign contributions and expenditures, in order to reduce the appearance of corruption. Though parts were held unconstitutional, it mostly survived challenge in Buckley v. Valeo.","1971",,,,,,
1110,"Employee Retirement Income Security Act","Public Law","This Act, aka ""ERISA,"" includes provisions setting standards for the governance of pension, retirement, and other benefit plans, as well as establishes liabilities against plan administrators for breaches of fiduciary duties. In operation, it has had the practical effect of preempting many common law tort claims.","1974",,,,,,
1111,"Copyright Act","Public Law","This most recent major revision of the U.S. copyright laws abolished the renewal of terms, tying the right to the death of the author; and codified the fair use doctrine, among other things.","1976",,,,,,
1112,"Foreign Corrupt Practices Act","Public Law","The FCPA was primarily enacted to combat the scourge of bribing foreign officials for favorable treatment with regards to business interests, although it also applies to the trading of securities, among other things.","1977",,,,,,
1113,"CERCLA","Public Law","The Comprehensive Environmental Response, Compensation, and Liability Act created the ""Superfund"" program to devote efforts towards cleaning up the nation's most polluted sites, and establishing liability for polluters and owners of such sites.","1980",,,,,,
1114,"Americans with Disabilities Act","Public Law","This wide-ranging law prohibits discrimination against the disabled in employment and public accommodations, among other areas.","1990",,,,,,
1115,"Family and Medical Leave Act","Public Law","Originally vetoed by President G.H.W. Bush, this law establishing paid parental and medical leave was re-passed by the next Congress and signed by President Clinton.","1993",,,,,,
1116,"Defense of Marriage Act","Public Law","This act, or DOMA, restricted federal benefits available to married couples to only opposite sex marriages, as well as relieving states from having to recognize out of state same-sex marriages.","1996",,,,,,
1117,"No Child Left Behind Act","Public Law","No Child Left Behind is perhaps the most controversial federal education act. The jury's still out on whether it's had a positive or negative effect. It was passed with very broad support.","2001",,,,,,
1118,"USA PATRIOT Act","Public Law","Passed in the aftermath of the 9/11 attacks, the PATRIOT Act, among other things, increased the ability of the federal government to seek search warrants before the Foreign Intelligence Surveillance Court.","2001",,,,,,
1119,"Patient Protection and Affordable Care Act","Public Law","AKA ""Health Care Reform"" and ""Obamacare,"" this landmark legislation requires, among other things, the purchase of health care insurance or  the payment of a penalty, which provision was upheld by the Supreme Court in 2012.","2010",,,,,,
1120,"Cohens v. Virginia","SCt Case","In a major early case involving the extent of the Supreme Court's jurisdiction, the Court held that it had power to review the decisions of state criminal cases wherein the defendant asserts a violation of his federal constitutional rights.","1821",,,,,,"19 U.S. 264"
1121,"Hayburn's Case","SCt Case","While not decided on the merits, the justices, in a precursor to Marbury, expressed the view that Congress could not constitutionally assign to them non-judicial functions.","1792",,,,,,"2 U.S. 409"
1122,"Marbury v. Madison","SCt Case","THE landmark Supreme Court case, in which a wily Chief Justice Marshall gave a procedural win to political rival Thomas Jefferson while also establishing the Court's power of judicial review of the constitutionality of acts passed by Congress.","1803",,,,,,"5 U.S. 137"
1123,"Fletcher v. Peck","SCt Case","Ruling under the Contracts Clause of the Constitution, the Supreme Court for the first time held a state law to be unconstitutional (for violating the prohibition on impairing contracts).","1810",,,,,,"10 U.S. 87"
1124,"Martin v. Hunter's Lessee","SCt Case","In a case in which the Virginia Supreme Court interpreted a U.S. treaty, the Supreme Court held that it had final say over state courts in matters of federal law.","1816",,,,,,"14 U.S. 304"
1125,"McCulloch v. Maryland","SCt Case","The Court upheld the creation of a national bank; though not a power expressly granted to Congress, the Court held that Congress's power was implied in the Necessary and Proper Clause.","1819",,,,,,"17 U.S. 316"
1126,"Trustees of Dartmouth College v. Woodward","SCt Case","The Court applied the Contracts Clause to hold that a contract (in this case, a royal charter), even though predating the Revolution, could not constitutionally be impaired by a state.","1819",,,,,,"17 U.S. 518"
1127,"Barron v. Baltimore","SCt Case","The Supreme Court held that the Bill of Rights applied only to the federal government, and was therefore not a limit on state power.","1823",,,,,,"32 U.S. (7 Pet.) 243"
1128,"Gibbons v. Ogden","SCt Case","The Court, per Chief Justice Marshall, struck down an exclusive New York-issued license to navigate its waterways, holding that the Commerce Clause vested such authority in Congress, and that navigation was included within the power.","1824",,,,,,"22 U.S. 1"
1129,"Scott v. Sandford","SCt Case","aka the ""Dred Scott Decision,"" the Supreme Court held that taking a slave into a free state did not have the effect of granting the slave his freedom.","1857",,,,,,"60 U.S. 393"
1130,"Ex parte Milligan","SCt Case","The Supreme Court upheld the suspension of habeas corpus during the Civil War, but also held that civilians could not be tried by military courts in areas where civilian courts were still functioning.","1866",,,,,,"71 U.S. (4 Wall.) 2"
1131,"Texas v. White","SCt Case","The Supreme Court held that the Constitution did not permit unilateral secession, and the post-secession acts of Texas's legislature had no legal effect.","1869",,,,,,"74 U.S. 700"
1132,"Bradwell v. Illinois","SCt Case","The Supreme Court held that the 14th Amendment's Privileges & Immunities Clause did not prohibit states from denying women the right to practice law.","1873",,,,,,"83 U.S. 130"
1133,"Slaughterhouse Cases","SCt Case","A decision by the Court that left little if any work to be done by the Privileges & Immunities Clause of the 14th Amendment.  It is heavily criticized as having been incorrectly decided.","1873",,,,,,"83 U.S. 36"
1134,"Strauder v. West Virginia","SCt Case","The Supreme Court reversed Strauder's conviction under the Equal Protection Clause as Strauder, who was black, was tried before an all-white jury due to West Virginia's exclusion of blacks from jury service.","1880",,,,,,"100 U.S. 303"
1135,"Civil Rights Cases","SCt Case","Striking down the Civil Rights Act of 1875, the Supreme Court held that the 14th Amendment's Equal Protection Clause could not be applied against private actions.","1883",,,,,,"109 U.S. 3"
1136,"Yick Wo v. Hopkins","SCt Case","The Court held that even though a law might be neutral on its face, if applied in a racially discriminatory manner (in this case, against Chinese immigrants), it will still violate the Equal Protection Clause.","1886",,,,,,"118 U.S. 356"
